Seq_Sample_ID,Sample_ID,,District,Country
all_ACH-21-BB-31_S140,ACH-21-BB-31_S140,ACH-21-BB-31,Batu,Ethiopia
all_ACH-21-BB-33_S151,ACH-21-BB-33_S151,ACH-21-BB-33,Batu,Ethiopia
all_ACH-21-BB-37_S162,ACH-21-BB-37_S162,ACH-21-BB-37,Batu,Ethiopia
all_ACH-21-BB-39_S174,ACH-21-BB-39_S174,ACH-21-BB-39,Batu,Ethiopia
all_ACH-21-BB-42_S94,ACH-21-BB-42_S94,ACH-21-BB-42,Batu,Ethiopia
all_ACH-21-BB-46_S106,ACH-21-BB-46_S106,ACH-21-BB-46,Batu,Ethiopia
all_ACH-21-BB-53_S118,ACH-21-BB-53_S118,ACH-21-BB-53,Batu,Ethiopia
all_ACH-21-BB-57_S130,ACH-21-BB-57_S130,ACH-21-BB-57,Batu,Ethiopia
all_ACH-21-BB-67_S141,ACH-21-BB-67_S141,ACH-21-BB-67,Batu,Ethiopia
all_ACH-21-BB-68_S152,ACH-21-BB-68_S152,ACH-21-BB-68,Batu,Ethiopia
all_ACH-21-BB-75_S163,ACH-21-BB-75_S163,ACH-21-BB-75,Batu,Ethiopia
all_ACH-21-BB-77_S175,ACH-21-BB-77_S175,ACH-21-BB-77,Batu,Ethiopia
all_ACH-21-BB-79_S95,ACH-21-BB-79_S95,ACH-21-BB-79,Batu,Ethiopia
all_ACH-21-BB-81_S107,ACH-21-BB-81_S107,ACH-21-BB-81,Batu,Ethiopia
all_ACH-21-BB-86_S131,ACH-21-BB-86_S131,ACH-21-BB-86,Batu,Ethiopia
all_ACH-21-BB-89_S153,ACH-21-BB-89_S153,ACH-21-BB-89,Batu,Ethiopia
all_ACH-21-BB-91_S176,ACH-21-BB-91_S176,ACH-21-BB-91,Batu,Ethiopia
all_ACH-21-BB-92_S96,ACH-21-BB-92_S96,ACH-21-BB-92,Batu,Ethiopia
all_ACH-21-BD-05_S108,ACH-21-BD-05_S108,ACH-21-BD-05,Batu,Ethiopia
all_ACH-21-BD-11_S120,ACH-21-BD-11_S120,ACH-21-BD-11,Batu,Ethiopia
all_ACH-21-BD-18_S105,ACH-21-BD-18_S105,ACH-21-BD-18,Batu,Ethiopia
all_ACH-21-BD-27_S117,ACH-21-BD-27_S117,ACH-21-BD-27,Batu,Ethiopia
all_ACH-21-BD-28_S129,ACH-21-BD-28_S129,ACH-21-BD-28,Batu,Ethiopia
all_ACH-21-BS-003_S132,ACH-21-BS-003_S132,ACH-21-BS-003,Batu,Ethiopia
all_ACH-21-BS-008_S143,ACH-21-BS-008_S143,ACH-21-BS-008,Batu,Ethiopia
all_ACH-21-BS-009_S154,ACH-21-BS-009_S154,ACH-21-BS-009,Batu,Ethiopia
all_ACH-21-BS-012_S165,ACH-21-BS-012_S165,ACH-21-BS-012,Batu,Ethiopia
all_ACH-21-BS-015_S177,ACH-21-BS-015_S177,ACH-21-BS-015,Batu,Ethiopia
all_ACH-21-BS-024_S97,ACH-21-BS-024_S97,ACH-21-BS-024,Batu,Ethiopia
all_ACH-21-BS-027_S109,ACH-21-BS-027_S109,ACH-21-BS-027,Batu,Ethiopia
all_ACH-21-BS-028_S121,ACH-21-BS-028_S121,ACH-21-BS-028,Batu,Ethiopia
all_ACH-21-BS-032_S133,ACH-21-BS-032_S133,ACH-21-BS-032,Batu,Ethiopia
all_ACH-21-BS-048_S155,ACH-21-BS-048_S155,ACH-21-BS-048,Batu,Ethiopia
all_ACH-21-BS-052_S166,ACH-21-BS-052_S166,ACH-21-BS-052,Batu,Ethiopia
